epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1995.62,1.1496,0.82417,1.13415,0.77678,0.81435,0.84935,0.51043,1.33244,0.76253,1.1763,0.00033098,0.00033098,0.00033098
59,2027.94,1.13469,0.80863,1.12525,0.79207,0.82587,0.84051,0.51142,1.33333,0.75732,1.18128,0.000305933,0.000305933,0.000305933
60,2076.48,1.13971,0.76849,1.10767,0.81258,0.80621,0.85393,0.51504,1.3271,0.75799,1.1855,0.000281712,0.000281712,0.000281712
61,2121.67,1.13017,0.78679,1.11763,0.81169,0.80364,0.86117,0.51961,1.32185,0.74902,1.16936,0.000258355,0.000258355,0.000258355
62,2155.6,1.1257,0.79446,1.10446,0.80026,0.82491,0.85172,0.5187,1.33252,0.75031,1.17082,0.000235898,0.000235898,0.000235898
63,2203.05,1.13831,0.79992,1.11233,0.82059,0.79602,0.85703,0.51472,1.33631,0.73761,1.16528,0.000214375,0.000214375,0.000214375
64,2260.17,1.14114,0.78399,1.11963,0.78564,0.81963,0.85862,0.51304,1.3422,0.74997,1.17601,0.000193819,0.000193819,0.000193819
65,2301.62,1.11306,0.79316,1.10326,0.80099,0.78142,0.85458,0.50648,1.34007,0.75629,1.17316,0.000174262,0.000174262,0.000174262
66,2353.38,1.10822,0.75871,1.09813,0.8375,0.78589,0.85368,0.51131,1.32914,0.74892,1.17524,0.000155735,0.000155735,0.000155735
67,2409.38,1.09666,0.75044,1.08714,0.8292,0.78223,0.84854,0.50599,1.35233,0.75376,1.18367,0.000138266,0.000138266,0.000138266
68,2449.73,1.07962,0.75126,1.08839,0.83245,0.78854,0.8465,0.50786,1.33956,0.75121,1.17744,0.000121882,0.000121882,0.000121882
69,2498.73,1.06222,0.75424,1.10493,0.81942,0.80744,0.84884,0.50398,1.34663,0.74641,1.18265,0.000106608,0.000106608,0.000106608
70,2540.95,1.11151,0.74861,1.09239,0.82185,0.80364,0.84996,0.50696,1.3348,0.74912,1.18285,9.2467e-05,9.2467e-05,9.2467e-05
71,2580.7,0.97418,0.62861,1.05388,0.79522,0.78428,0.84014,0.49318,1.35311,0.76119,1.18741,7.94819e-05,7.94819e-05,7.94819e-05
72,2627.37,0.95649,0.57889,1.03487,0.75443,0.83425,0.842,0.49628,1.34693,0.76809,1.18615,6.76723e-05,6.76723e-05,6.76723e-05
73,2665.07,0.97426,0.57234,1.04848,0.76971,0.80134,0.84099,0.50314,1.34511,0.78052,1.1894,5.70564e-05,5.70564e-05,5.70564e-05
74,2718.42,0.96332,0.55572,1.02308,0.76559,0.7973,0.84119,0.49794,1.35786,0.77829,1.19312,4.76506e-05,4.76506e-05,4.76506e-05
